,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
2344,0,2018,0.8660254038,0.5,3967646.624578,0,0,1,0,0,1,0,5,0,454056
4778,0,2017,-2.44929359829471E-16,1,10708553.827101,0,0,1,1,0,1,0,0,0,373863
3469,0,2018,1,6.12323399573677E-17,1359352.362955,0,0,1,0,0,1,0,1,0,328341
4117,0,2018,1,6.12323399573677E-17,855077.589183,0,0,1,0,0,1,0,1,1,179467
5036,0,2018,1,6.12323399573677E-17,1327644.14822,0,1,1,1,0,1,0,1,0,167469
5517,0,2018,1,6.12323399573677E-17,1075690.171779,0,0,1,1,0,1,0,0,0,149163
6133,0,2017,-1,-1.83697019872103E-16,16557655.237313,0,1,2,0,0,1,0,0,0,126712
10308,0,2018,1,6.12323399573677E-17,1780113.489123,0,0,1,0,0,1,0,1,0,111795
4808,0,2017,-0.8660254038,-0.5,20439314.177554,0,0,1,0,0,1,0,0,1,108738
4118,0,2018,1,6.12323399573677E-17,872553.591049,1,0,1,0,1,0,0,0,0,102367
5538,0,2018,0.8660254038,-0.5,435926.975428,0,0,1,0,0,1,0,0,1,100350
3754,0,2018,1,6.12323399573677E-17,1188787.140338,0,0,1,1,0,1,0,0,1,98639
7653,0,2018,0.8660254038,-0.5,424651.657361,0,0,1,1,0,1,0,1,0,92269
6404,0,2018,0.8660254038,0.5,5687443.012994,0,0,1,0,0,1,0,1,1,82513
9413,0,2017,-0.5,0.8660254038,12564957.148005,0,0,1,0,0,1,0,1,0,80204
2303,0,2018,1,6.12323399573677E-17,1506924.041469,0,0,1,0,0,1,0,1,2,72946
4116,0,2018,1,6.12323399573677E-17,785224.586843,1,0,1,0,0,1,0,1,0,72002
624,0,2018,0.8660254038,-0.5,238303.108879,0,0,1,0,0,1,0,0,0,70638
6840,0,2018,1,6.12323399573677E-17,1104580.843081,0,0,1,1,0,1,0,0,0,70582
7163,0,2018,0.8660254038,-0.5,688392.790843,0,0,1,0,0,1,0,0,0,69390
4787,0,2017,-0.5,0.8660254038,12953348.844627,0,0,1,0,0,1,0,1,2,68998
7178,0,2018,1,6.12323399573677E-17,2027156.069826,0,0,1,0,0,1,0,0,0,62911
10311,0,2018,1,6.12323399573677E-17,1830241.497544,0,0,1,0,0,1,0,1,1,57456
6408,0,2018,0.8660254038,0.5,5828300.025702,0,0,1,0,0,1,0,0,0,54602
4762,0,2018,0.5,0.8660254038,8001865.474835,0,0,1,1,0,1,0,0,0,53390
5489,0,2018,0.8660254038,-0.5,380653.436043,0,0,2,0,0,1,0,1,0,50958
614,0,2018,0.8660254038,-0.5,71056.088073,0,0,1,0,0,1,0,1,0,41264
7102,0,2018,0.8660254038,-0.5,305784.176645,0,0,1,0,0,1,0,1,0,41179
9427,0,2017,-1,-1.83697019872103E-16,17269279.207556,0,0,1,1,0,1,0,0,1,39058
4758,0,2018,0.8660254038,0.5,5708483.466397,0,0,1,0,0,1,0,0,1,37979
1881,0,2018,0.8660254038,-0.5,308548.311962,0,0,1,1,0,0,0,0,0,37586
2323,0,2018,1,6.12323399573677E-17,2431348.318795,0,0,1,0,0,1,0,0,1,37010
5084,0,2018,0.8660254038,-0.5,252670.196668,0,0,1,1,0,1,0,0,0,36004
9415,0,2017,-0.8660254038,0.5,14142731.155899,0,0,1,0,0,1,0,0,1,35517
6417,0,2018,0.5,0.8660254038,7210007.318023,0,0,1,0,0,1,0,0,0,33647
1007,0,2018,1,6.12323399573677E-17,1970671.542356,0,0,1,0,0,1,0,0,0,32833
2807,0,2018,0.8660254038,-0.5,498685.000463,0,0,1,0,0,1,0,0,0,32447
9848,0,2018,0.8660254038,-0.5,498671.207999,0,0,1,0,0,1,0,0,0,32447
2312,0,2018,1,6.12323399573677E-17,2032444.069236,1,0,1,0,1,1,0,0,1,31955
7193,0,2018,1,6.12323399573677E-17,2154116.363987,1,0,1,0,1,1,0,0,1,31955
2400,0,2018,1,6.12323399573677E-17,3062053.453317,0,0,2,0,0,1,0,0,1,30594
3926,0,2018,0.8660254038,-0.5,90883.892663,0,0,1,0,0,1,0,0,3,30579
9417,0,2017,-0.8660254038,0.5,14466087.166298,0,0,1,1,0,1,0,1,0,30548
5043,0,2018,1,6.12323399573677E-17,1372215.176646,0,0,1,0,0,1,0,0,0,29841
3907,0,2017,-0.8660254038,0.5,16297964.236212,0,0,2,1,1,1,0,0,0,28174
2065,0,2018,0.8660254038,-0.5,403709.349679,0,0,2,0,0,1,0,1,1,28090
